OP_NOMBRE,idBudget,maxBudget,typologyBudget,yearBudget,stateBudget,stateBudgetName
23176_CPLEHENDAKARIAGUIRRE158,23176,324425.95,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23175_HONESTROPHYUNIPESSOALLDA,23175,9089246.88,REHABILITACION,2023,11,NO ADJUDICADO
23174_CPGUZMANELBUENO83,23174,675535.30,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23173_GENERALI,23173,2787659.59,REHABILITACION,2023,8,CONTRATADO
23172_STONECAPITAL,23172,614868.00,REHABILITACION,2023,8,CONTRATADO
23171_CPBOLIVIA36,23171,238155.85,FACHADA,2023,11,NO ADJUDICADO
23170_CPCOLONIAJUANDELACIERVAALAGÓNALCAÑIZYAGRAMUNT,23170,665643.88,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23169_CPRIBERADELMANZANARES17,23169,141219.23,ENVOLVENTE,2023,8,CONTRATADO
23168_CPMANOTERAS8,23168,285565.86,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23166_CPALBERTOARRUE5,23166,167578.06,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23164_PROPIEDAD,23164,210183.58,FACHADA,2023,3,ENTREGADO - ACTIVO
23163_VIVIENDAUNIFAMILIAR,23163,1194968.58,REHABILITACION,2023,11,NO ADJUDICADO
23162_CPCUEVASDEALMANZORA54MANOTERAS,23162,490930.99,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23161_CPSOMONTIN22MANOTERAS,23161,512624.76,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23160_CPALICÚN8MANOTERAS,23160,589809.51,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23157_CPFERNANDOGARRIDO3,23157,115835.39,FACHADA,2023,3,ENTREGADO - ACTIVO
23150_CPENCOMIENDADEPALACIOS22,23150,223380.70,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23149_CPTORREONDO23,23149,1044031.07,ENVOLVENTE,2023,11,NO ADJUDICADO
23148_WHITEMÁLAGACASA,23148,2606383.44,REHABILITACION,2023,11,NO ADJUDICADO
23146_CPABARO18,23146,99975.64,ENVOLVENTE,2023,11,NO ADJUDICADO
23145_CPGOIRI5,23145,242682.07,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23144_CPJOSECELESTINOMUTIS4,23144,476292.87,ENVOLVENTE,2023,8,CONTRATADO
23143_CPPARQUEVOSA25,23143,495111.41,ENVOLVENTE,2023,8,CONTRATADO
23142_CPDIRECCIÓN7,23142,138270.60,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23141_FUNDACIÓNHOSPITALARIADELAVERACRUZ,23141,426952.42,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23140_MISIONERASCRUZADASDEIGLESIA,23140,354929.22,FACHADA,2023,3,ENTREGADO - ACTIVO
23139_CPOTSOANE4,23139,239886.87,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23138_CPERREKATXU6,23138,365991.41,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23137_CPGREGORIODELAREVILLA22,23137,759746.68,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23136_CPPLENTZIALABASTURE16,23136,499674.56,ENVOLVENTE,2023,11,NO ADJUDICADO
23135_CPPONZANO78,23135,68158.42,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23133_PARROQUIA,23133,117540.02,REHABILITACION,2023,11,NO ADJUDICADO
23132_CPFERNANDOGARRIDO2,23132,37242.34,FACHADA,2023,3,ENTREGADO - ACTIVO
23131_CPARROYOFONTARRÓN257,23131,190801.69,ENVOLVENTE,2023,11,NO ADJUDICADO
23130_CPDOMINGOPÁRRAGA4,23130,804852.63,ENVOLVENTE,2023,8,CONTRATADO
23129_CPVELARDE3,23129,167177.10,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23128_CPSOTERADELAMIER22,23128,36634.22,FACHADA,2023,4,ENTREGADO - INACTIVO
23127_CPJUANJCONDEPELAYO1,23127,24364.63,REHABILITACION,2023,11,NO ADJUDICADO
23126_CPSOMERA15,23126,215257.85,FACHADA,2023,3,ENTREGADO - ACTIVO
23124_CPBELLABERRIA25,23124,503099.84,FACHADA,2023,8,CONTRATADO
23123_CPSANTIAGO1,23123,224483.15,FACHADA,2023,3,ENTREGADO - ACTIVO
23120_FUNDACIÓNEDUCACIÓNMARIANISTADOMINGOLÁZARO,23120,493505.99,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23119_CPÁNGELMÚJICA19,23119,214994.56,ENVOLVENTE,2023,11,NO ADJUDICADO
23118_CPPALAFOX7,23118,56113.50,FACHADA,2023,3,ENTREGADO - ACTIVO
23117_INDITASL,23117,399871.16,FACHADA,2023,8,CONTRATADO
23116_ROCKCAPITALINVESTMENT,23116,1123161.16,REHABILITACION,2023,11,NO ADJUDICADO
23115_CPMARÍADÍAZDEHARO22,23115,197954.53,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23114_CPSABINOARANA48,23114,97171.82,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23112_FIDESGESTIÓN,23112,2385869.52,REHABILITACION,2023,11,NO ADJUDICADO
23110_CPVALENZUELA12,23110,372770.78,REHABILITACION,2023,8,CONTRATADO
23109_CPCABESTREROS9,23109,84671.61,REHABILITACION,2023,11,NO ADJUDICADO
23108_CPERCILLA30,23108,478725.00,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23107_CPANTONIOALZAGA34A,23107,72536.40,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23105_CPBOCANGEL1824,23105,276498.92,FACHADA,2023,11,NO ADJUDICADO
23104_CPHERMOSILLA54,23104,125583.17,FACHADA,2023,3,ENTREGADO - ACTIVO
23103_CPDIEGOMAZKIARAN7,23103,338916.72,FACHADA,2023,3,ENTREGADO - ACTIVO
23102_CPVENTURADELAVEGA16,23102,142263.01,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23101_CPCONCEPCIÓNARENAL6,23101,152396.40,FACHADA,2023,3,ENTREGADO - ACTIVO
23100_VEIGADEMAGO,23100,5878479.11,REHABILITACION,2023,2,EN ESTUDIO
23099_CPFERNANDOELSANTO25,23099,63760.72,FACHADA,2023,3,ENTREGADO - ACTIVO
23098_CPMAGALLANES14,23098,257726.50,FACHADA,2023,3,ENTREGADO - ACTIVO
23095_CPMIGUELDECERVANTES19,23095,396614.76,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23094_CPDELICIAS89,23094,389643.54,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23093_CPFELICIDAD10,23093,233953.74,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23092_BARAZANISL,23092,2745772.46,REHABILITACION,2023,11,NO ADJUDICADO
23091_CPMARÍADÍAZDEHARO40,23091,192157.99,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23090_VIVESOLUCIONESINMOBILIARIAS,23090,529711.38,REHABILITACION,2023,11,NO ADJUDICADO
23089_CPARROYOBELINCOSO5052,23089,291385.85,ENVOLVENTE,2023,10,NO HACEN OBRA
23088_DIOCESISDECARTAGENA,23088,1243386.75,PATRIMONIO,2023,11,NO ADJUDICADO
23087_CPTACONA3337MORATALAZ,23087,923881.02,ENVOLVENTE,2023,8,CONTRATADO
23086_CPMARCOSDEORUETA1,23086,204213.80,ENVOLVENTE,2023,11,NO ADJUDICADO
23085_ARCHIDIÓCESISDESEVILLA,23085,572476.44,PATRIMONIO,2023,11,NO ADJUDICADO
23084_CPALCORISA11,23084,1222340.08,ENVOLVENTE,2023,8,CONTRATADO
23083_CPMONTESQUINZA12,23083,368513.98,FACHADA,2023,11,NO ADJUDICADO
23082_CPJULIÁNGAIARRE9,23082,87602.49,ENVOLVENTE,2023,11,NO ADJUDICADO
23081_CPSANTÍSIMATRINIDAD16,23081,129954.09,FACHADA,2023,3,ENTREGADO - ACTIVO
23080_MAYACAPITAL,23080,3333688.48,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23079_CPALMIRANTEANTONIOGAZTAÑETA3,23079,591841.33,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23078_CPLEIOAITURRIBIDE17,23078,702453.00,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23077_CPIPARRAGUIRRE10,23077,582315.13,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23076_CPMURRIETA47,23076,137384.61,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23075_CPNAFARROA11,23075,215884.24,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23074_CPJOSÉABASCAL29,23074,97905.91,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23073_CPNAGUSIA3133,23073,1131870.16,ENVOLVENTE,2023,8,CONTRATADO
23072_CPNAZARET17,23072,167879.03,ENVOLVENTE,2023,8,CONTRATADO
23071_CPENRIQUEMOWINKEL7682,23071,2409236.85,ENVOLVENTE,2023,11,NO ADJUDICADO
23070_CPMIKELZARATE1,23070,296343.50,ENVOLVENTE,2023,11,NO ADJUDICADO
23069_CPURBANIZACIÓNMIRAFLORES44,23069,308987.89,ENVOLVENTE,2023,11,NO ADJUDICADO
23067_CPARMINTZEKALDE11YELIZONDO2,23067,437926.88,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23066_CPPRÍNCIPEDEVERGARA58,23066,162323.98,ENVOLVENTE,2023,6,ADJUDICADO - VIABILIDAD
23064_CPPLENTZIAERRIBERA40,23064,207469.60,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23063_CPGOIKOLARRA1112,23063,950220.55,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23062_CPVIRGENDELCARMEN56,23062,249536.16,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23061_CPARROYOBELINCOSO26,23061,162479.25,ENVOLVENTE,2023,11,NO ADJUDICADO
23060_CPFERNANDOELCATÓLICO5,23060,272598.16,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23058_TANIAINMOBILIARIALDA,23058,2693732.94,REHABILITACION,2023,11,NO ADJUDICADO
23057_CPHERMOSILLA36,23057,344743.91,FACHADA,2023,3,ENTREGADO - ACTIVO
23056_ARZOBISPADODEMADRID,23056,398211.54,PATRIMONIO,2023,8,CONTRATADO
23055_CPIBARRA10,23055,223913.24,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23053_CPPOETAJOANMARAGALL49,23053,342463.41,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23052_CPAUGUSTOFIGUEROA29,23052,231894.74,REHABILITACION,2023,11,NO ADJUDICADO
23051_CPCONSULADODEBILBAO8,23051,57906.32,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23050_CPCÁDIZ5,23050,365914.53,ENVOLVENTE,2023,11,NO ADJUDICADO
23049_CPGALLARRAGA2,23049,166965.41,ENVOLVENTE,2023,3,ENTREGADO - ACTIVO
23048_CPARRONTEGUI2022,23048,599931.93,ENVOLVENTE,2023,11,NO ADJUDICADO
23047_CPMEZO69,23047,131869.25,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23046_CSAREALSTATE,23046,3219760.49,REHABILITACION,2023,4,ENTREGADO - INACTIVO
23044_CPFUENCARRAL132,23044,255265.51,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23043_CPMEZO11,23043,529996.62,ENVOLVENTE,2023,4,ENTREGADO - INACTIVO
23042_AUSTRANCOELHOLOBO,23042,2423869.09,REHABILITACION,2023,3,ENTREGADO - ACTIVO
23040_CPRAIMUNDOFERNÁNDEZVILLAVERDE34A44,23040,887938.65,REHABILITACION,2023,11,NO ADJUDICADO
23034_CPPELAYO30,23034,58417.14,REHABILITACION,2023,11,NO ADJUDICADO
23033_CABILDODELACATEDRAL,23033,12805023.21,PATRIMONIO,2023,11,NO ADJUDICADO
23032_AVALON,23032,2985.00,REHABILITACION,2023,8,CONTRATADO
23031_CPSANBERNARDINO14,23031,127836.45,FACHADA,2023,3,ENTREGADO - ACTIVO
23030_CPSANPEDRODECARDEÑA14,23030,404532.91,ENVOLVENTE,2023,11,NO ADJUDICADO
23029_ARZOBISPADODEMADRID,23029,1486468.91,PATRIMONIO,2023,3,ENTREGADO - ACTIVO
23028_CPCAPITÁNBLANCOARGIBAY21,23028,455263.56,REHABILITACION,2023,11,NO ADJUDICADO
23027_CPCARRANZA16,23027,38449.36,FACHADA,2023,11,NO ADJUDICADO
23026_CPDIVINOPASTOR4,23026,169944.30,REHABILITACION,2023,11,NO ADJUDICADO
23025_CPMONLEÓN6,23025,138935.13,ENVOLVENTE,2023,11,NO ADJUDICADO
