OP_NOMBRE,TIPOLOGIA,ESTADO_SEGUIMIENTO,FECHA_RECOGIDA_REAL,fecha_RRR,Importe_MAX
20219_CPRIBERADELMANZANARES71,FACHADA,04 ENTREGADO - INACTIVO,22/10/2020,2020-10-22 00:00,"€1182,65"
21280_CPANAITASUNA15,ENVOLVENTE,11 NO ADJUDICADO,16/12/2021,2021-12-16 00:00,"€28906,40"
22275_CPGRANVÍA46-PALACIODELAPRENSA,FACHADA,04 ENTREGADO - INACTIVO,26/11/2022,2022-11-26 00:00,"€47755,00"
19125_CPJUNTASGENERALES11,ENVOLVENTE,04 ENTREGADO - INACTIVO,12/3/2019,2019-03-12 00:00,"€120987,30"
19309_INCOGA,PATRIMONIO,04 ENTREGADO - INACTIVO,22/11/2019,2019-11-22 00:00,"€73442,75"
23072_CPNAZARET17,ENVOLVENTE,08 CONTRATADO,9/12/2023,2023-12-09 00:00,"€167879,03"
20130_CPALCALÁ78,PATRIMONIO,04 ENTREGADO - INACTIVO,1/6/2020,2020-06-01 00:00,"€93631,47"
20206_ZIKOTZ,ENVOLVENTE,04 ENTREGADO - INACTIVO,16/9/2020,2020-09-16 00:00,"€154397,43"
22098_CPAUGUSTOFIGUEROA8,FACHADA,04 ENTREGADO - INACTIVO,12/4/2022,2022-04-12 00:00,"€72925,43"
20148_CPVIÑUELAS1-7,REHABILITACION,04 ENTREGADO - INACTIVO,25/6/2020,2020-06-25 00:00,"€108232,77"
19113_CPCOLOMBIA6,REHABILITACION,04 ENTREGADO - INACTIVO,20/4/2019,2019-04-20 00:00,"€921388,28"
23101_CPCONCEPCIÓNARENAL6,FACHADA,03 ENTREGADO - ACTIVO,12/4/2023,2023-04-12 00:00,"€152396,40"
21129_CPCAVABAJA32,REHABILITACION,04 ENTREGADO - INACTIVO,18/5/2021,2021-05-18 00:00,"€125880,13"
21112_CPMUNGIALDE10,ENVOLVENTE,08 CONTRATADO,15/4/2021,2021-04-15 00:00,"€82548,89"
19305_INMOBILARIAACERKSL,PATRIMONIO,04 ENTREGADO - INACTIVO,3/12/2019,2019-12-03 00:00,"€74742,67"
23131_CPARROYOFONTARRÓN257,ENVOLVENTE,11 NO ADJUDICADO,31/1/2023,2023-01-31 00:00,"€190801,69"
23143_CPPARQUEVOSA25,ENVOLVENTE,08 CONTRATADO,1/2/2023,2023-02-01 00:00,"€495111,41"
22294_CPARABA1,ENVOLVENTE,04 ENTREGADO - INACTIVO,21/11/2022,2022-11-21 00:00,"€244303,81"
21217_CPSAHARA26,ENVOLVENTE,08 CONTRATADO,1/10/2021,2021-10-01 00:00,"€181326,53"
19168_UNICAJA,PATRIMONIO,04 ENTREGADO - INACTIVO,6/6/2019,2019-06-06 00:00,"€139305,35"
19156_INSTITUTOPOLITÉCNICODESETÚBAL,PATRIMONIO,04 ENTREGADO - INACTIVO,31/1/2019,2019-01-31 00:00,"€7500,00"
23089_CPARROYOBELINCOSO5052,ENVOLVENTE,10 NO HACEN OBRA,16/1/2023,2023-01-16 00:00,"€291385,85"
22167_ACCIONA,FACHADA,10 NO HACEN OBRA,15/6/2022,2022-06-15 00:00,"€239804,49"
"23196
_CPMENDEZPELAYO45",FACHADA,03 ENTREGADO - ACTIVO,6/6/2023,2023-06-06 00:00,"€287704,93"
21045_DIDRA,ENVOLVENTE,04 ENTREGADO - INACTIVO,22/1/2021,2021-01-22 00:00,"€539800,07"
21102_CPYÉBENES107,ENVOLVENTE,04 ENTREGADO - INACTIVO,17/3/2021,2021-03-17 00:00,"€128374,86"
23030_CPSANPEDRODECARDEÑA14,ENVOLVENTE,11 NO ADJUDICADO,10/1/2023,2023-01-10 00:00,"€404532,91"
22039_CPGANEBARRI79,ENVOLVENTE,04 ENTREGADO - INACTIVO,8/2/2022,2022-02-08 00:00,"€249247,92"
19024_CPMURRIETA58AYB,ENVOLVENTE,03 ENTREGADO - ACTIVO,18/12/2018,2018-12-18 00:00,"€2404967,02"
19151_CPJUANESPLANDIÚ9,REHABILITACION,04 ENTREGADO - INACTIVO,24/5/2019,2019-05-24 00:00,"€79916,10"
20257_CPRUADOSSOBREIROS186-208-230,REHABILITACION,04 ENTREGADO - INACTIVO,11/11/2020,2020-11-11 00:00,"€213438,75"
19162_CPESTRADADEABARO10,ENVOLVENTE,04 ENTREGADO - INACTIVO,22/5/2019,2019-05-22 00:00,"€310990,82"
16032_JUNTADEDAMASDEHONORYMÉRITO,PATRIMONIO,04 ENTREGADO - INACTIVO,15/11/2015,2015-11-15 00:00,"€721615,28"
19025_ELCORTEINGLÉS,PATRIMONIO,04 ENTREGADO - INACTIVO,15/1/2019,2019-01-15 00:00,"€75266,35"
19022_CPPOETAJOANMARAGALL49,REHABILITACION,09 DESCARTADO,11/12/2023,2023-12-11 00:00,"€123778,99"
20198_CPSANPOLDEMAR2,ENVOLVENTE,04 ENTREGADO - INACTIVO,13/8/2020,2020-08-13 00:00,"€121394,14"
21131_CPLARIOJA14ARABA5,ENVOLVENTE,04 ENTREGADO - INACTIVO,21/5/2021,2021-05-21 00:00,"€42683,90"
19180_CPBIDEGAIN12,ENVOLVENTE,04 ENTREGADO - INACTIVO,3/4/2019,2019-04-03 00:00,"€130623,19"
21189_MISIONERASEUCARÍSTICASDENAZARET,FACHADA,04 ENTREGADO - INACTIVO,30/7/2021,2021-07-30 00:00,"€9337,28"
23061_CPARROYOBELINCOSO26,ENVOLVENTE,11 NO ADJUDICADO,16/1/2023,2023-01-16 00:00,"€162479,25"
21058_CPSANTACOMBA10,ENVOLVENTE,04 ENTREGADO - INACTIVO,28/1/2021,2021-01-28 00:00,"€262967,06"
19061_CPLISBOA32,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/11/2018,2018-11-29 00:00,"€142249,62"
19188_MUSEODELPRADO,PATRIMONIO,04 ENTREGADO - INACTIVO,29/4/2019,2019-04-29 00:00,"€8922,00"
19137_CPURUGUAY6,ENVOLVENTE,04 ENTREGADO - INACTIVO,21/5/2019,2019-05-21 00:00,"€223378,10"
20079_CPCARLOSV40,ENVOLVENTE,04 ENTREGADO - INACTIVO,6/2/2020,2020-02-06 00:00,"€226855,97"
20245_CPGOYA10,ENVOLVENTE,04 ENTREGADO - INACTIVO,12/11/2020,2020-11-12 00:00,"€488117,62"
20091_CPGALICIA12,ENVOLVENTE,04 ENTREGADO - INACTIVO,24/2/2020,2020-02-24 00:00,"€397868,70"
21127_CPDUQUEDEALBA1,FACHADA,04 ENTREGADO - INACTIVO,1/6/2021,2021-06-01 00:00,"€139848,77"
20046_SACTTEPROPERTIES,REHABILITACION,04 ENTREGADO - INACTIVO,17/2/2020,2020-02-17 00:00,"€819696,92"
21188_PROPIEDAD,FACHADA,04 ENTREGADO - INACTIVO,4/8/2021,2021-08-04 00:00,"€64247,66"
19289_UNIONFLORISTASA,REHABILITACION,04 ENTREGADO - INACTIVO,20/11/2019,2019-11-20 00:00,"€162919,09"
23087_CPTACONA3337MORATALAZ,ENVOLVENTE,08 CONTRATADO,28/12/2022,2022-12-28 00:00,"€923881,02"
21184_CPSALITRE48,FACHADA,04 ENTREGADO - INACTIVO,14/7/2021,2021-07-14 00:00,"€108795,87"
21154_CPGETXO3,FACHADA,04 ENTREGADO - INACTIVO,14/6/2021,2021-06-14 00:00,"€5892,05"
21191_CPPELAYO22,REHABILITACION,04 ENTREGADO - INACTIVO,2/7/2021,2021-07-02 00:00,"€53583,07"
21224_CPMIRAFLORES1495,FACHADA,04 ENTREGADO - INACTIVO,6/10/2021,2021-10-06 00:00,"€213885,58"
20180_CPODONNELL8,REHABILITACION,04 ENTREGADO - INACTIVO,28/9/2020,2020-09-28 00:00,"€76189,27"
23128_CPSOTERADELAMIER22,FACHADA,04 ENTREGADO - INACTIVO,17/4/2023,2023-04-17 00:00,"€36634,22"
22197_CPPUERTODELACRUZVERDE4044,ENVOLVENTE,03 ENTREGADO - ACTIVO,8/8/2022,2022-08-08 00:00,"€5112275,70"
20265_CPCASTELLANA292,REHABILITACION,04 ENTREGADO - INACTIVO,28/12/2020,2020-12-28 00:00,"€245263,42"
19080_CPMÉJICO1,ENVOLVENTE,04 ENTREGADO - INACTIVO,5/3/2019,2019-03-05 00:00,"€311561,06"
19085_CPRIOMANZANARES12,ENVOLVENTE,04 ENTREGADO - INACTIVO,19/3/2019,2019-03-19 00:00,"€130826,63"
19060_CPLISBOA5,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/11/2018,2018-11-29 00:00,"€140537,10"
20122_CPDOCTORCASAL15,ENVOLVENTE,04 ENTREGADO - INACTIVO,9/3/2020,2020-03-09 00:00,"€64189,07"
23223_GRUPOIMPAMAR,REHABILITACION,09 DESCARTADO,5/7/2023,2023-07-05 00:00,"€1336424,03"
21250_CPDUQUEDEALBA8,FACHADA,04 ENTREGADO - INACTIVO,28/10/2021,2021-10-28 00:00,"€59415,89"
23175_HONESTROPHYUNIPESSOALLDA,REHABILITACION,11 NO ADJUDICADO,3/4/2023,2023-04-03 00:00,"€9089246,88"
23069_CPURBANIZACIÓNMIRAFLORES44,ENVOLVENTE,11 NO ADJUDICADO,7/3/2023,2023-03-07 00:00,"€308987,89"
23098_CPMAGALLANES14,FACHADA,03 ENTREGADO - ACTIVO,27/3/2023,2023-03-27 00:00,"€257726,50"
19067_CPFERRERÍAS8,ENVOLVENTE,11 NO ADJUDICADO,21/2/2019,2019-02-21 00:00,"€34608,31"
19051_CPABEDUL15-25,REHABILITACION,04 ENTREGADO - INACTIVO,19/2/2019,2019-02-19 00:00,"€42361,74"
22297_CPCASTELLANA296,FACHADA,11 NO ADJUDICADO,9/12/2022,2022-12-09 00:00,"€288987,26"
23057_CPHERMOSILLA36,FACHADA,03 ENTREGADO - ACTIVO,1/2/2023,2023-02-01 00:00,"€344743,91"
23028_CPCAPITÁNBLANCOARGIBAY21,REHABILITACION,11 NO ADJUDICADO,21/12/2022,2022-12-21 00:00,"€455263,56"
21011_CPDOCTORGÓMEZULLA10,FACHADA,04 ENTREGADO - INACTIVO,12/11/2021,2021-11-12 00:00,"€77752,05"
22306_CPGALICIA6,ENVOLVENTE,11 NO ADJUDICADO,22/12/2022,2022-12-22 00:00,"€254773,11"
21266_HOTELALFONSOXIII,PATRIMONIO,04 ENTREGADO - INACTIVO,15/11/2021,2021-11-15 00:00,"€26157,50"
22057_UNIVERSIDADEUROPEA,REHABILITACION,03 ENTREGADO - ACTIVO,6/10/2021,2021-10-06 00:00,"€5600,00"
20212_CPNERVIÓN4,ENVOLVENTE,11 NO ADJUDICADO,13/10/2020,2020-10-13 00:00,"€352735,23"
22241_CPJAEN1,ENVOLVENTE,03 ENTREGADO - ACTIVO,9/8/2022,2022-08-09 00:00,"€145077,00"
21149_CPFERRAZ4,ENVOLVENTE,04 ENTREGADO - INACTIVO,27/5/2021,2021-05-27 00:00,"€92592,15"
20128_CPCEBREROS65,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/11/2020,2020-11-29 00:00,"€128782,37"
19082_MUTUALIDADABOGACÍA,PATRIMONIO,04 ENTREGADO - INACTIVO,24/10/2018,2018-10-24 00:00,"€172622,52"
22225_CPPORMETXETA3,ENVOLVENTE,04 ENTREGADO - INACTIVO,12/1/2022,2022-01-12 00:00,"€127994,99"
"19171_CPARMINTZEKALDE11-ELIZONDO2
",ENVOLVENTE,04 ENTREGADO - INACTIVO,20/2/2019,2019-02-20 00:00,"€151721,76"
23234_OBISPADODEALCALÁ,ENVOLVENTE,04 ENTREGADO - INACTIVO,9/8/2023,2023-08-09 00:00,"€482704,00"
22185_CPORTUARTE2,ENVOLVENTE,08 CONTRATADO,27/5/2022,2022-05-27 00:00,"€311569,45"
19217_CPBAGATZA4,ENVOLVENTE,11 NO ADJUDICADO,3/7/2019,2019-07-03 00:00,"€283885,68"
22107_MÓNICARIDRUEJO,FACHADA,07 PROCESO CONTRATACION,11/4/2022,2022-04-11 00:00,"€162493,90"
21142_CPRIOFUENTEBRADA5,ENVOLVENTE,04 ENTREGADO - INACTIVO,10/5/2021,2021-05-10 00:00,"€884965,00"
20100_CPDOCTORCASAL23,ENVOLVENTE,04 ENTREGADO - INACTIVO,9/3/2020,2020-03-09 00:00,"€65596,20"
22071_CPHERMOSILLA69,FACHADA,04 ENTREGADO - INACTIVO,11/3/2022,2022-03-11 00:00,"€73595,30"
22279_CPBOTICA12-14,ENVOLVENTE,03 ENTREGADO - ACTIVO,2/11/2022,2022-11-02 00:00,"€213823,09"
19274_HOTELESCENTER,PATRIMONIO,04 ENTREGADO - INACTIVO,24/10/2019,2019-10-24 00:00,"€50892,44"
21078_CPPEDRODEVALDIVIA38,FACHADA,04 ENTREGADO - INACTIVO,17/3/2021,2021-03-17 00:00,"€137420,85"
19062_CPBERLÍN21,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/11/2018,2018-11-29 00:00,"€131956,22"
19206_HOTUSA,REHABILITACION,04 ENTREGADO - INACTIVO,30/7/2019,2019-07-30 00:00,"€1566990,65"
23033_CABILDODELACATEDRAL,PATRIMONIO,11 NO ADJUDICADO,12/1/2023,2023-01-12 00:00,"€12805023,21"
22209_CPPEZ15,FACHADA,03 ENTREGADO - ACTIVO,29/7/2022,2022-07-29 00:00,"€89499,15"
23150_CPENCOMIENDADEPALACIOS22,ENVOLVENTE,03 ENTREGADO - ACTIVO,10/5/2023,2023-05-10 00:00,"€223380,70"
23144_CPJOSECELESTINOMUTIS4,ENVOLVENTE,08 CONTRATADO,14/3/2023,2023-03-14 00:00,"€476292,87"
21223_MANZANARESSA,FACHADA,04 ENTREGADO - INACTIVO,20/9/2021,2021-09-20 00:00,"€87151,52"
19311_CPGRANVÍA86,ENVOLVENTE,11 NO ADJUDICADO,19/11/2019,2019-11-19 00:00,"€344315,46"
23084_CPALCORISA11,ENVOLVENTE,08 CONTRATADO,15/3/2023,2023-03-15 00:00,"€1222340,08"
20181_CPINFANTAMERCEDES96,FACHADA,03 ENTREGADO - ACTIVO,17/9/2020,2020-09-17 00:00,"€160000,00"
23203_CONGREGACIÓNDELSANTÍSIMOREDENTOR,REHABILITACION,03 ENTREGADO - ACTIVO,30/6/2023,2023-06-30 00:00,"€7177386,10"
20070_CPCASTELLANA248,ENVOLVENTE,04 ENTREGADO - INACTIVO,7/2/2020,2020-02-07 00:00,"€253982,97"
23172_STONECAPITAL,REHABILITACION,08 CONTRATADO,1/5/2023,2023-05-01 00:00,"€614868,00"
21196_GRUPOHOTUSA,REHABILITACION,04 ENTREGADO - INACTIVO,26/8/2021,2021-08-26 00:00,"€1555036,28"
23240_CPARROYOMEDIALEGUA27,ENVOLVENTE,08 CONTRATADO,31/1/2023,2023-01-31 00:00,"€611714,96"
23209_FUNDACIÓNIGLESIACOLEGIALDIVINOPASTOR,PATRIMONIO,08 CONTRATADO,3/7/2023,2023-07-03 00:00,"€13052,33"
19179_CPPLAZADECÁDIZ1,ENVOLVENTE,04 ENTREGADO - INACTIVO,12/6/2019,2019-06-12 00:00,"€236748,29"
20041_CPMARIATERESADELEÓN612,ENVOLVENTE,04 ENTREGADO - INACTIVO,3/2/2020,2020-02-03 00:00,"€767635,95"
19114_CPALCARRIA5,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/3/2019,2019-03-29 00:00,"€331815,00"
22171_CPPOBLADESEGUR21,ENVOLVENTE,03 ENTREGADO - ACTIVO,29/9/2022,2022-09-29 00:00,"€118891,66"
21079_CPGASÓMETRO6-8,REHABILITACION,04 ENTREGADO - INACTIVO,28/3/2021,2021-03-28 00:00,"€122289,68"
19058_CPDALIA2,REHABILITACION,04 ENTREGADO - INACTIVO,6/3/2019,2019-03-06 00:00,"€332186,19"
23193_INFINITMANAGENTLDA,REHABILITACION,11 NO ADJUDICADO,21/6/2023,2023-06-21 00:00,"€2382203,71"
22223_PROPIEDAD,FACHADA,11 NO ADJUDICADO,19/10/2022,2022-10-19 00:00,"€298930,89"
23171_CPBOLIVIA36,FACHADA,11 NO ADJUDICADO,5/4/2023,2023-04-05 00:00,"€238155,85"
22260_CPMAGALLANES29,ENVOLVENTE,03 ENTREGADO - ACTIVO,11/10/2022,2022-10-11 00:00,"€869980,69"
22017_CPGRANVÍA50,FACHADA,04 ENTREGADO - INACTIVO,20/1/2022,2022-01-20 00:00,"€130953,66"
22287_CPALCALÁ91,REHABILITACION,03 ENTREGADO - ACTIVO,30/11/2022,2022-11-30 00:00,"€228999,57"
19310_CPPALANGREROS13,ENVOLVENTE,04 ENTREGADO - INACTIVO,31/10/2019,2019-10-31 00:00,"€208701,58"
23100_VEIGADEMAGO,REHABILITACION,03 ENTREGADO - ACTIVO,31/3/2023,2023-03-31 00:00,"€5878479,11"
21080_TURISMOYPROGRESO,FACHADA,04 ENTREGADO - INACTIVO,24/3/2021,2021-03-24 00:00,"€11800,00"
22029_CPLAUAXETAOLERKARI1012,ENVOLVENTE,04 ENTREGADO - INACTIVO,28/1/2022,2022-01-28 00:00,"€761901,29"
19185_PROPIEDAD,PATRIMONIO,04 ENTREGADO - INACTIVO,,2023-10-10 11:21,"€281450,13"
19089_CPMÉJICO4,ENVOLVENTE,04 ENTREGADO - INACTIVO,18/3/2019,2019-03-18 00:00,"€420926,26"
20116_CPARIBAI57,FACHADA,11 NO ADJUDICADO,5/5/2020,2020-05-05 00:00,"€343230,67"
20216_CPPRINCESADEÉBOLI1-5,REHABILITACION,04 ENTREGADO - INACTIVO,19/10/2020,2020-10-19 00:00,"€218367,18"
23178_CPSANTAFE1,ENVOLVENTE,11 NO ADJUDICADO,31/5/2023,2023-05-31 00:00,"€197475,53"
23130_CPDOMINGOPÁRRAGA4,ENVOLVENTE,08 CONTRATADO,6/2/2023,2023-02-06 00:00,"€804852,63"
23086_CPMARCOSDEORUETA1,ENVOLVENTE,11 NO ADJUDICADO,12/1/2023,2023-01-12 00:00,"€204213,80"
19288_MAHOUSA,PATRIMONIO,04 ENTREGADO - INACTIVO,11/11/2019,2019-11-11 00:00,"€461563,02"
21155_CPYÉBENES28,ENVOLVENTE,08 CONTRATADO,22/6/2021,2021-06-22 00:00,"€74221,24"
22196_CPCAMINODEVINATEROS98100,ENVOLVENTE,03 ENTREGADO - ACTIVO,29/7/2022,2022-07-29 00:00,"€338274,78"
19308_CPJUANCARLOSI17,REHABILITACION,04 ENTREGADO - INACTIVO,28/11/2019,2019-11-28 00:00,"€41444,17"
22284_CPQUINTA15CIUDADPEGASO,ENVOLVENTE,03 ENTREGADO - ACTIVO,21/11/2023,2023-11-21 00:00,"€194837,30"
20133_CPNICOLÁSMORALES44,REHABILITACION,04 ENTREGADO - INACTIVO,30/4/2020,2020-04-30 00:00,"€595321,56"
18313_CPCUEVASDEALMANZORA151ARIMANOTERAS,ENVOLVENTE,04 ENTREGADO - INACTIVO,17/11/2016,2016-11-17 00:00,"€91389,71"
20129_CPCEBREROS58,ENVOLVENTE,04 ENTREGADO - INACTIVO,29/11/2020,2020-11-29 00:00,"€126814,28"
21111_CPBELÉN3,ENVOLVENTE,04 ENTREGADO - INACTIVO,14/5/2021,2021-05-14 00:00,"€69364,19"
19055_CPFILIPINAS42BIS,FACHADA,04 ENTREGADO - INACTIVO,4/2/2019,2019-02-04 00:00,"€45962,70"
19225_CP240JEFFERSONAV,FACHADA,04 ENTREGADO - INACTIVO,29/8/2019,2019-08-29 00:00,"€368745,10"
23187_CPPRINCIPEDEVERGARA17,FACHADA,11 NO ADJUDICADO,18/5/2023,2023-05-18 00:00,"€263323,46"
22058_CHATOYANTINVESTIMENTOSTURISTICOS,REHABILITACION,11 NO ADJUDICADO,25/2/2022,2022-02-25 00:00,"€163739,17"
23173_GENERALI,REHABILITACION,08 CONTRATADO,23/5/2015,2015-05-23 00:00,"€2787659,59"
20214_CPBIZKAIA28,ENVOLVENTE,03 ENTREGADO - ACTIVO,22/9/2020,2020-09-22 00:00,"€214998,14"
22282_CPTEMBLEQUE94,ENVOLVENTE,08 CONTRATADO,21/11/2022,2022-11-21 00:00,"€641736,39"
22077_CPZURBANO57,FACHADA,03 ENTREGADO - ACTIVO,26/9/2022,2022-09-26 00:00,"€267695,97"
22177_CPARZUA39,ENVOLVENTE,03 ENTREGADO - ACTIVO,28/6/2022,2022-06-28 00:00,"€101157,04"
23025_CPMONLEÓN6,ENVOLVENTE,11 NO ADJUDICADO,2/1/2023,2023-01-02 00:00,"€138935,13"
19184_CPORTIGOSA7,ENVOLVENTE,04 ENTREGADO - INACTIVO,11/6/2019,2019-06-11 00:00,"€67986,10"
21094_SEDEPNV,FACHADA,11 NO ADJUDICADO,24/3/2021,2021-03-24 00:00,"€12814,20"
18224_CPBOULEVARDESALBURUA44-56,REHABILITACION,04 ENTREGADO - INACTIVO,14/6/2018,2018-06-14 00:00,"€307649,98"
21040_CONVENTOCORPUSCHRISTI,PATRIMONIO,11 NO ADJUDICADO,4/2/2021,2021-02-04 00:00,"€214250,45"
18139_CPFILIPINAS22,FACHADA,04 ENTREGADO - INACTIVO,17/4/2018,2018-04-17 00:00,"€66721,52"
23305_CPSERRANO114,FACHADA,03 ENTREGADO - ACTIVO,,2023-10-11 09:32,"€87710,92"
23308_CATELLAWE-02SPAINSL,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-10-16 10:49,"€263665,72"
23310_CPSANTAVIRGILIA9-11,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-10-18 13:48,"€2359783,10"
23312_FUNDACIONFAUSTAELORZ,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-10-19 13:34,"€171173,84"
23236_FUNDACIONDIVINOSALVADOR,PATRIMONIO,03 ENTREGADO - ACTIVO,,2023-10-20 09:59,"€198606,27"
23319_CPSERRANO91,FACHADA,03 ENTREGADO - ACTIVO,,2023-10-24 07:28,"€239931,61"
23325_CPISLADEFUERTEVENTURA6,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-10-26 13:55,"€416489,19"
23328_CPDEBARROA2,ENVOLVENTE,03 ENTREGADO - ACTIVO,23/10/2023,2023-10-23 00:00,"€43345,28"
23331_CPALCALDESAINZDEBARANDA19,ENVOLVENTE,11 NO ADJUDICADO,,2023-10-31 12:45,"€600992,88"
23334_CPPICODEARTILLEROS174,ENVOLVENTE,08 CONTRATADO,,2023-11-03 10:23,"€257898,29"
23335_CPGODELLA237,ENVOLVENTE,04 ENTREGADO - INACTIVO,,2023-11-03 11:18,"€285257,32"
23337_PROPIEDAD,FACHADA,03 ENTREGADO - ACTIVO,,2023-11-07 10:24,"€435773,40"
23339_CPVIALUSITANA38,ENVOLVENTE,07 PROCESO CONTRATACION,,2023-11-07 11:12,"€214368,72"
23340_CPAVENIDADEOPORTO5,ENVOLVENTE,04 ENTREGADO - INACTIVO,,2023-11-07 12:22,"€197805,54"
23341_CPLACOMA6,ENVOLVENTE,03 ENTREGADO - ACTIVO,,2023-11-08 11:23,"€154841,47"
23345_CPIMPALA7,ENVOLVENTE,11 NO ADJUDICADO,,2023-11-10 12:21,"€207405,04"
23348_CPBRIANDADEMENDOZAYLUNA6,ENVOLVENTE,11 NO ADJUDICADO,,2023-11-14 07:19,"€418174,44"
23349_DIRECCIÓNCOLECCIONESREALES,PATRIMONIO,03 ENTREGADO - ACTIVO,,2023-11-14 15:05,"€14973,77"
